NCES_ID,District_Name,County,Locale_Code,Locale_Category,Locale_Label,Enrollment,FRL_Count,FRL_Percent,Has_CTE,CEPD_Region,Prosperity_Region,Metropolitan_Region,Economic_Region
2600010,Detroit Public Schools,Wayne,11,"=IFS(D2<=13,""City"",D2<=23,""Suburb"",D2<=33,""Town"",TRUE,""Rural"")","=IFS(D2=11,""City-Large"",D2=12,""City-Midsize"",D2=13,""City-Small"",D2=21,""Suburb-Large"",D2=22,""Suburb-Midsize"",D2=23,""Suburb-Small"",D2=31,""Town-Fringe"",D2=32,""Town-Distant"",D2=33,""Town-Remote"",D2=41,""Rural-Fringe"",D2=42,""Rural-Distant"",D2=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",45000,35000,77.8,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A2)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C2,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C2,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C2,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C2,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
2600020,Ann Arbor Public Schools,Washtenaw,21,"=IFS(D3<=13,""City"",D3<=23,""Suburb"",D3<=33,""Town"",TRUE,""Rural"")","=IFS(D3=11,""City-Large"",D3=12,""City-Midsize"",D3=13,""City-Small"",D3=21,""Suburb-Large"",D3=22,""Suburb-Midsize"",D3=23,""Suburb-Small"",D3=31,""Town-Fringe"",D3=32,""Town-Distant"",D3=33,""Town-Remote"",D3=41,""Rural-Fringe"",D3=42,""Rural-Distant"",D3=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",17000,3400,20,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A3)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C3,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C3,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C3,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C3,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
2601234,Traverse City Area PS,Grand Traverse,22,"=IFS(D4<=13,""City"",D4<=23,""Suburb"",D4<=33,""Town"",TRUE,""Rural"")","=IFS(D4=11,""City-Large"",D4=12,""City-Midsize"",D4=13,""City-Small"",D4=21,""Suburb-Large"",D4=22,""Suburb-Midsize"",D4=23,""Suburb-Small"",D4=31,""Town-Fringe"",D4=32,""Town-Distant"",D4=33,""Town-Remote"",D4=41,""Rural-Fringe"",D4=42,""Rural-Distant"",D4=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",10500,4200,40,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A4)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C4,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C4,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C4,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C4,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
2605678,Frankenmuth School District,Saginaw,32,"=IFS(D5<=13,""City"",D5<=23,""Suburb"",D5<=33,""Town"",TRUE,""Rural"")","=IFS(D5=11,""City-Large"",D5=12,""City-Midsize"",D5=13,""City-Small"",D5=21,""Suburb-Large"",D5=22,""Suburb-Midsize"",D5=23,""Suburb-Small"",D5=31,""Town-Fringe"",D5=32,""Town-Distant"",D5=33,""Town-Remote"",D5=41,""Rural-Fringe"",D5=42,""Rural-Distant"",D5=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",1200,240,20,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A5)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C5,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C5,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C5,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C5,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
2609876,Onaway Area Community SD,Presque Isle,43,"=IFS(D6<=13,""City"",D6<=23,""Suburb"",D6<=33,""Town"",TRUE,""Rural"")","=IFS(D6=11,""City-Large"",D6=12,""City-Midsize"",D6=13,""City-Small"",D6=21,""Suburb-Large"",D6=22,""Suburb-Midsize"",D6=23,""Suburb-Small"",D6=31,""Town-Fringe"",D6=32,""Town-Distant"",D6=33,""Town-Remote"",D6=41,""Rural-Fringe"",D6=42,""Rural-Distant"",D6=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",650,390,60,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A6)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C6,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C6,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C6,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C6,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
2602345,Grand Rapids Public Schools,Kent,11,"=IFS(D7<=13,""City"",D7<=23,""Suburb"",D7<=33,""Town"",TRUE,""Rural"")","=IFS(D7=11,""City-Large"",D7=12,""City-Midsize"",D7=13,""City-Small"",D7=21,""Suburb-Large"",D7=22,""Suburb-Midsize"",D7=23,""Suburb-Small"",D7=31,""Town-Fringe"",D7=32,""Town-Distant"",D7=33,""Town-Remote"",D7=41,""Rural-Fringe"",D7=42,""Rural-Distant"",D7=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",19000,12000,63.2,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A7)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C7,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C7,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C7,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C7,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
2603456,Novi Community Schools,Oakland,21,"=IFS(D8<=13,""City"",D8<=23,""Suburb"",D8<=33,""Town"",TRUE,""Rural"")","=IFS(D8=11,""City-Large"",D8=12,""City-Midsize"",D8=13,""City-Small"",D8=21,""Suburb-Large"",D8=22,""Suburb-Midsize"",D8=23,""Suburb-Small"",D8=31,""Town-Fringe"",D8=32,""Town-Distant"",D8=33,""Town-Remote"",D8=41,""Rural-Fringe"",D8=42,""Rural-Distant"",D8=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",6500,800,12.3,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A8)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C8,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C8,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C8,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C8,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
2604567,East Lansing Public Schools,Ingham,21,"=IFS(D9<=13,""City"",D9<=23,""Suburb"",D9<=33,""Town"",TRUE,""Rural"")","=IFS(D9=11,""City-Large"",D9=12,""City-Midsize"",D9=13,""City-Small"",D9=21,""Suburb-Large"",D9=22,""Suburb-Midsize"",D9=23,""Suburb-Small"",D9=31,""Town-Fringe"",D9=32,""Town-Distant"",D9=33,""Town-Remote"",D9=41,""Rural-Fringe"",D9=42,""Rural-Distant"",D9=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",3200,640,20,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A9)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C9,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C9,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C9,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C9,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
2606789,Petoskey Public Schools,Emmet,32,"=IFS(D10<=13,""City"",D10<=23,""Suburb"",D10<=33,""Town"",TRUE,""Rural"")","=IFS(D10=11,""City-Large"",D10=12,""City-Midsize"",D10=13,""City-Small"",D10=21,""Suburb-Large"",D10=22,""Suburb-Midsize"",D10=23,""Suburb-Small"",D10=31,""Town-Fringe"",D10=32,""Town-Distant"",D10=33,""Town-Remote"",D10=41,""Rural-Fringe"",D10=42,""Rural-Distant"",D10=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",2100,840,40,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A10)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C10,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C10,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C10,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C10,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
2607890,Manistique Area Schools,Schoolcraft,42,"=IFS(D11<=13,""City"",D11<=23,""Suburb"",D11<=33,""Town"",TRUE,""Rural"")","=IFS(D11=11,""City-Large"",D11=12,""City-Midsize"",D11=13,""City-Small"",D11=21,""Suburb-Large"",D11=22,""Suburb-Midsize"",D11=23,""Suburb-Small"",D11=31,""Town-Fringe"",D11=32,""Town-Distant"",D11=33,""Town-Remote"",D11=41,""Rural-Fringe"",D11=42,""Rural-Distant"",D11=43,""Rural-Remote"",TRUE,""ERROR-CHECK-CODE"")",890,445,50,"=IF(COUNTIFS(tbl_Programs_Raw[NCES_ID],A11)>0,""Yes"",""No"")","=IFERROR(VLOOKUP(C11,tbl_Geographic_Crosswalk,2,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C11,tbl_Geographic_Crosswalk,3,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C11,tbl_Geographic_Crosswalk,4,FALSE),""Unknown"")","=IFERROR(VLOOKUP(C11,tbl_Geographic_Crosswalk,5,FALSE),""Unknown"")"
