NCES_ID,CIP_Code,Building_Code,Program_Name,Program_Status,Is_InHouse,Sharing_Count,Fractional_Credit
2600010,47.0201,26000100,"Heating, AC & Refrigeration",Active,"=IF(LEFT(TEXT(C2,""00000000""),5)=LEFT(TEXT(A2,""00000000""),5),""Yes"",""No"")","=IF(F2=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C2))","=IF(F2=""Yes"",1,1/G2)"
2600010,52.0201,26000101,Business Administration,Active,"=IF(LEFT(TEXT(C3,""00000000""),5)=LEFT(TEXT(A3,""00000000""),5),""Yes"",""No"")","=IF(F3=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C3))","=IF(F3=""Yes"",1,1/G3)"
2600010,11.0201,26000102,Computer Programming,Active,"=IF(LEFT(TEXT(C4,""00000000""),5)=LEFT(TEXT(A4,""00000000""),5),""Yes"",""No"")","=IF(F4=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C4))","=IF(F4=""Yes"",1,1/G4)"
2600020,11.0201,26000200,Computer Programming,Active,"=IF(LEFT(TEXT(C5,""00000000""),5)=LEFT(TEXT(A5,""00000000""),5),""Yes"",""No"")","=IF(F5=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C5))","=IF(F5=""Yes"",1,1/G5)"
2600020,47.0201,81050100,HVAC (ISD Shared),Active,"=IF(LEFT(TEXT(C6,""00000000""),5)=LEFT(TEXT(A6,""00000000""),5),""Yes"",""No"")","=IF(F6=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C6))","=IF(F6=""Yes"",1,1/G6)"
2600020,51.0801,26000201,Medical Assistant,Active,"=IF(LEFT(TEXT(C7,""00000000""),5)=LEFT(TEXT(A7,""00000000""),5),""Yes"",""No"")","=IF(F7=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C7))","=IF(F7=""Yes"",1,1/G7)"
2601234,47.0201,81050100,HVAC (ISD Shared),Active,"=IF(LEFT(TEXT(C8,""00000000""),5)=LEFT(TEXT(A8,""00000000""),5),""Yes"",""No"")","=IF(F8=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C8))","=IF(F8=""Yes"",1,1/G8)"
2601234,51.0911,26012300,Massage Therapy,Active,"=IF(LEFT(TEXT(C9,""00000000""),5)=LEFT(TEXT(A9,""00000000""),5),""Yes"",""No"")","=IF(F9=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C9))","=IF(F9=""Yes"",1,1/G9)"
2601234,52.0201,26012301,Business Management,Active,"=IF(LEFT(TEXT(C10,""00000000""),5)=LEFT(TEXT(A10,""00000000""),5),""Yes"",""No"")","=IF(F10=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C10))","=IF(F10=""Yes"",1,1/G10)"
2605678,01.0101,26056780,Agricultural Business,Active,"=IF(LEFT(TEXT(C11,""00000000""),5)=LEFT(TEXT(A11,""00000000""),5),""Yes"",""No"")","=IF(F11=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C11))","=IF(F11=""Yes"",1,1/G11)"
2605678,47.0201,81050100,HVAC (ISD Shared),Active,"=IF(LEFT(TEXT(C12,""00000000""),5)=LEFT(TEXT(A12,""00000000""),5),""Yes"",""No"")","=IF(F12=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C12))","=IF(F12=""Yes"",1,1/G12)"
2609876,01.0101,26098760,Agricultural Science,Active,"=IF(LEFT(TEXT(C13,""00000000""),5)=LEFT(TEXT(A13,""00000000""),5),""Yes"",""No"")","=IF(F13=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C13))","=IF(F13=""Yes"",1,1/G13)"
2609876,47.0605,81050200,Welding (ISD Shared),Active,"=IF(LEFT(TEXT(C14,""00000000""),5)=LEFT(TEXT(A14,""00000000""),5),""Yes"",""No"")","=IF(F14=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C14))","=IF(F14=""Yes"",1,1/G14)"
2602345,47.0201,26023450,HVAC Technology,Active,"=IF(LEFT(TEXT(C15,""00000000""),5)=LEFT(TEXT(A15,""00000000""),5),""Yes"",""No"")","=IF(F15=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C15))","=IF(F15=""Yes"",1,1/G15)"
2602345,52.0201,26023451,Business & Marketing,Active,"=IF(LEFT(TEXT(C16,""00000000""),5)=LEFT(TEXT(A16,""00000000""),5),""Yes"",""No"")","=IF(F16=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C16))","=IF(F16=""Yes"",1,1/G16)"
2602345,51.0801,26023452,Health Occupations,Active,"=IF(LEFT(TEXT(C17,""00000000""),5)=LEFT(TEXT(A17,""00000000""),5),""Yes"",""No"")","=IF(F17=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C17))","=IF(F17=""Yes"",1,1/G17)"
2602345,11.0201,26023453,Information Technology,Active,"=IF(LEFT(TEXT(C18,""00000000""),5)=LEFT(TEXT(A18,""00000000""),5),""Yes"",""No"")","=IF(F18=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C18))","=IF(F18=""Yes"",1,1/G18)"
2603456,11.0201,26034560,Computer Science,Active,"=IF(LEFT(TEXT(C19,""00000000""),5)=LEFT(TEXT(A19,""00000000""),5),""Yes"",""No"")","=IF(F19=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C19))","=IF(F19=""Yes"",1,1/G19)"
2603456,52.0201,26034561,Business Analytics,Active,"=IF(LEFT(TEXT(C20,""00000000""),5)=LEFT(TEXT(A20,""00000000""),5),""Yes"",""No"")","=IF(F20=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C20))","=IF(F20=""Yes"",1,1/G20)"
2604567,51.0801,26045670,Medical Careers,Active,"=IF(LEFT(TEXT(C21,""00000000""),5)=LEFT(TEXT(A21,""00000000""),5),""Yes"",""No"")","=IF(F21=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C21))","=IF(F21=""Yes"",1,1/G21)"
2604567,47.0201,81050100,HVAC (ISD Shared),Active,"=IF(LEFT(TEXT(C22,""00000000""),5)=LEFT(TEXT(A22,""00000000""),5),""Yes"",""No"")","=IF(F22=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C22))","=IF(F22=""Yes"",1,1/G22)"
2606789,01.0101,26067890,Agriculture & Natural Resources,Active,"=IF(LEFT(TEXT(C23,""00000000""),5)=LEFT(TEXT(A23,""00000000""),5),""Yes"",""No"")","=IF(F23=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C23))","=IF(F23=""Yes"",1,1/G23)"
2606789,47.0605,81050200,Welding (ISD Shared),Active,"=IF(LEFT(TEXT(C24,""00000000""),5)=LEFT(TEXT(A24,""00000000""),5),""Yes"",""No"")","=IF(F24=""Yes"",1,COUNTIFS(tbl_Programs_Raw[Building_Code],C24))","=IF(F24=""Yes"",1,1/G24)"
