NCES_ID,District_Name,County,CIP_Code,Program_Name,SOC_Code,Occupation_Title,Median_Wage,Regional_Median_Wage,Annual_Openings_Current,Annual_Openings_10yr,Wage_Ratio,Is_High_Wage_110,Is_High_Wage_120,Is_High_Wage_130,Rank_Current,Rank_10yr,Is_Top15_Current,Is_Top20_Current,Is_Top15_10yr,Is_Top20_10yr,Aligned_110_Top15_Current,Aligned_110_Top15_10yr,Aligned_110_Top20_Current,Aligned_110_Top20_10yr,Aligned_120_Top15_Current,Aligned_120_Top15_10yr,Aligned_120_Top20_Current,Aligned_120_Top20_10yr,Aligned_130_Top15_Current,Aligned_130_Top15_10yr,Aligned_130_Top20_Current,Aligned_130_Top20_10yr
2600010,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A2,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A2,tbl_Districts_Clean[NCES_ID],0)),"""")",47.0201,"Heating, AC & Refrigeration","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D2,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D2,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C2,tbl_Labor_County[SOC_Code],F2),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C2,tbl_Labor_County[SOC_Code],F2),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C2,tbl_Labor_County[SOC_Code],F2),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C2,tbl_Labor_County[SOC_Code],F2),0)","=IF(I2=0,0,H2/I2)","=IF(L2>=1.10,""Yes"",""No"")","=IF(L2>=1.20,""Yes"",""No"")","=IF(L2>=1.30,""Yes"",""No"")","=IF(J2=0,999,COUNTIFS(tbl_Labor_County[County],C2,tbl_Labor_County[Annual_Openings_Current],"">""&J2)+1)","=IF(K2=0,999,COUNTIFS(tbl_Labor_County[County],C2,tbl_Labor_County[Annual_Openings_10yr],"">""&K2)+1)","=IF(P2<=15,""Yes"",""No"")","=IF(P2<=20,""Yes"",""No"")","=IF(Q2<=15,""Yes"",""No"")","=IF(Q2<=20,""Yes"",""No"")","=IF(AND(M2=""Yes"",R2=""Yes""),""Yes"",""No"")","=IF(AND(M2=""Yes"",T2=""Yes""),""Yes"",""No"")","=IF(AND(M2=""Yes"",S2=""Yes""),""Yes"",""No"")","=IF(AND(M2=""Yes"",U2=""Yes""),""Yes"",""No"")","=IF(AND(N2=""Yes"",R2=""Yes""),""Yes"",""No"")","=IF(AND(N2=""Yes"",T2=""Yes""),""Yes"",""No"")","=IF(AND(N2=""Yes"",S2=""Yes""),""Yes"",""No"")","=IF(AND(N2=""Yes"",U2=""Yes""),""Yes"",""No"")","=IF(AND(O2=""Yes"",R2=""Yes""),""Yes"",""No"")","=IF(AND(O2=""Yes"",T2=""Yes""),""Yes"",""No"")","=IF(AND(O2=""Yes"",S2=""Yes""),""Yes"",""No"")","=IF(AND(O2=""Yes"",U2=""Yes""),""Yes"",""No"")"
2600010,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A3,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A3,tbl_Districts_Clean[NCES_ID],0)),"""")",52.0201,Business Administration,"=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D3,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D3,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C3,tbl_Labor_County[SOC_Code],F3),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C3,tbl_Labor_County[SOC_Code],F3),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C3,tbl_Labor_County[SOC_Code],F3),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C3,tbl_Labor_County[SOC_Code],F3),0)","=IF(I3=0,0,H3/I3)","=IF(L3>=1.10,""Yes"",""No"")","=IF(L3>=1.20,""Yes"",""No"")","=IF(L3>=1.30,""Yes"",""No"")","=IF(J3=0,999,COUNTIFS(tbl_Labor_County[County],C3,tbl_Labor_County[Annual_Openings_Current],"">""&J3)+1)","=IF(K3=0,999,COUNTIFS(tbl_Labor_County[County],C3,tbl_Labor_County[Annual_Openings_10yr],"">""&K3)+1)","=IF(P3<=15,""Yes"",""No"")","=IF(P3<=20,""Yes"",""No"")","=IF(Q3<=15,""Yes"",""No"")","=IF(Q3<=20,""Yes"",""No"")","=IF(AND(M3=""Yes"",R3=""Yes""),""Yes"",""No"")","=IF(AND(M3=""Yes"",T3=""Yes""),""Yes"",""No"")","=IF(AND(M3=""Yes"",S3=""Yes""),""Yes"",""No"")","=IF(AND(M3=""Yes"",U3=""Yes""),""Yes"",""No"")","=IF(AND(N3=""Yes"",R3=""Yes""),""Yes"",""No"")","=IF(AND(N3=""Yes"",T3=""Yes""),""Yes"",""No"")","=IF(AND(N3=""Yes"",S3=""Yes""),""Yes"",""No"")","=IF(AND(N3=""Yes"",U3=""Yes""),""Yes"",""No"")","=IF(AND(O3=""Yes"",R3=""Yes""),""Yes"",""No"")","=IF(AND(O3=""Yes"",T3=""Yes""),""Yes"",""No"")","=IF(AND(O3=""Yes"",S3=""Yes""),""Yes"",""No"")","=IF(AND(O3=""Yes"",U3=""Yes""),""Yes"",""No"")"
2600010,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A4,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A4,tbl_Districts_Clean[NCES_ID],0)),"""")",11.0201,Computer Programming,"=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D4,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D4,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C4,tbl_Labor_County[SOC_Code],F4),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C4,tbl_Labor_County[SOC_Code],F4),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C4,tbl_Labor_County[SOC_Code],F4),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C4,tbl_Labor_County[SOC_Code],F4),0)","=IF(I4=0,0,H4/I4)","=IF(L4>=1.10,""Yes"",""No"")","=IF(L4>=1.20,""Yes"",""No"")","=IF(L4>=1.30,""Yes"",""No"")","=IF(J4=0,999,COUNTIFS(tbl_Labor_County[County],C4,tbl_Labor_County[Annual_Openings_Current],"">""&J4)+1)","=IF(K4=0,999,COUNTIFS(tbl_Labor_County[County],C4,tbl_Labor_County[Annual_Openings_10yr],"">""&K4)+1)","=IF(P4<=15,""Yes"",""No"")","=IF(P4<=20,""Yes"",""No"")","=IF(Q4<=15,""Yes"",""No"")","=IF(Q4<=20,""Yes"",""No"")","=IF(AND(M4=""Yes"",R4=""Yes""),""Yes"",""No"")","=IF(AND(M4=""Yes"",T4=""Yes""),""Yes"",""No"")","=IF(AND(M4=""Yes"",S4=""Yes""),""Yes"",""No"")","=IF(AND(M4=""Yes"",U4=""Yes""),""Yes"",""No"")","=IF(AND(N4=""Yes"",R4=""Yes""),""Yes"",""No"")","=IF(AND(N4=""Yes"",T4=""Yes""),""Yes"",""No"")","=IF(AND(N4=""Yes"",S4=""Yes""),""Yes"",""No"")","=IF(AND(N4=""Yes"",U4=""Yes""),""Yes"",""No"")","=IF(AND(O4=""Yes"",R4=""Yes""),""Yes"",""No"")","=IF(AND(O4=""Yes"",T4=""Yes""),""Yes"",""No"")","=IF(AND(O4=""Yes"",S4=""Yes""),""Yes"",""No"")","=IF(AND(O4=""Yes"",U4=""Yes""),""Yes"",""No"")"
2600020,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A5,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A5,tbl_Districts_Clean[NCES_ID],0)),"""")",11.0201,Computer Programming,"=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D5,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D5,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C5,tbl_Labor_County[SOC_Code],F5),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C5,tbl_Labor_County[SOC_Code],F5),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C5,tbl_Labor_County[SOC_Code],F5),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C5,tbl_Labor_County[SOC_Code],F5),0)","=IF(I5=0,0,H5/I5)","=IF(L5>=1.10,""Yes"",""No"")","=IF(L5>=1.20,""Yes"",""No"")","=IF(L5>=1.30,""Yes"",""No"")","=IF(J5=0,999,COUNTIFS(tbl_Labor_County[County],C5,tbl_Labor_County[Annual_Openings_Current],"">""&J5)+1)","=IF(K5=0,999,COUNTIFS(tbl_Labor_County[County],C5,tbl_Labor_County[Annual_Openings_10yr],"">""&K5)+1)","=IF(P5<=15,""Yes"",""No"")","=IF(P5<=20,""Yes"",""No"")","=IF(Q5<=15,""Yes"",""No"")","=IF(Q5<=20,""Yes"",""No"")","=IF(AND(M5=""Yes"",R5=""Yes""),""Yes"",""No"")","=IF(AND(M5=""Yes"",T5=""Yes""),""Yes"",""No"")","=IF(AND(M5=""Yes"",S5=""Yes""),""Yes"",""No"")","=IF(AND(M5=""Yes"",U5=""Yes""),""Yes"",""No"")","=IF(AND(N5=""Yes"",R5=""Yes""),""Yes"",""No"")","=IF(AND(N5=""Yes"",T5=""Yes""),""Yes"",""No"")","=IF(AND(N5=""Yes"",S5=""Yes""),""Yes"",""No"")","=IF(AND(N5=""Yes"",U5=""Yes""),""Yes"",""No"")","=IF(AND(O5=""Yes"",R5=""Yes""),""Yes"",""No"")","=IF(AND(O5=""Yes"",T5=""Yes""),""Yes"",""No"")","=IF(AND(O5=""Yes"",S5=""Yes""),""Yes"",""No"")","=IF(AND(O5=""Yes"",U5=""Yes""),""Yes"",""No"")"
2600020,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A6,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A6,tbl_Districts_Clean[NCES_ID],0)),"""")",47.0201,HVAC (ISD Shared),"=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D6,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D6,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C6,tbl_Labor_County[SOC_Code],F6),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C6,tbl_Labor_County[SOC_Code],F6),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C6,tbl_Labor_County[SOC_Code],F6),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C6,tbl_Labor_County[SOC_Code],F6),0)","=IF(I6=0,0,H6/I6)","=IF(L6>=1.10,""Yes"",""No"")","=IF(L6>=1.20,""Yes"",""No"")","=IF(L6>=1.30,""Yes"",""No"")","=IF(J6=0,999,COUNTIFS(tbl_Labor_County[County],C6,tbl_Labor_County[Annual_Openings_Current],"">""&J6)+1)","=IF(K6=0,999,COUNTIFS(tbl_Labor_County[County],C6,tbl_Labor_County[Annual_Openings_10yr],"">""&K6)+1)","=IF(P6<=15,""Yes"",""No"")","=IF(P6<=20,""Yes"",""No"")","=IF(Q6<=15,""Yes"",""No"")","=IF(Q6<=20,""Yes"",""No"")","=IF(AND(M6=""Yes"",R6=""Yes""),""Yes"",""No"")","=IF(AND(M6=""Yes"",T6=""Yes""),""Yes"",""No"")","=IF(AND(M6=""Yes"",S6=""Yes""),""Yes"",""No"")","=IF(AND(M6=""Yes"",U6=""Yes""),""Yes"",""No"")","=IF(AND(N6=""Yes"",R6=""Yes""),""Yes"",""No"")","=IF(AND(N6=""Yes"",T6=""Yes""),""Yes"",""No"")","=IF(AND(N6=""Yes"",S6=""Yes""),""Yes"",""No"")","=IF(AND(N6=""Yes"",U6=""Yes""),""Yes"",""No"")","=IF(AND(O6=""Yes"",R6=""Yes""),""Yes"",""No"")","=IF(AND(O6=""Yes"",T6=""Yes""),""Yes"",""No"")","=IF(AND(O6=""Yes"",S6=""Yes""),""Yes"",""No"")","=IF(AND(O6=""Yes"",U6=""Yes""),""Yes"",""No"")"
2600020,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A7,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A7,tbl_Districts_Clean[NCES_ID],0)),"""")",51.0801,Medical Assistant,"=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D7,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D7,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C7,tbl_Labor_County[SOC_Code],F7),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C7,tbl_Labor_County[SOC_Code],F7),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C7,tbl_Labor_County[SOC_Code],F7),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C7,tbl_Labor_County[SOC_Code],F7),0)","=IF(I7=0,0,H7/I7)","=IF(L7>=1.10,""Yes"",""No"")","=IF(L7>=1.20,""Yes"",""No"")","=IF(L7>=1.30,""Yes"",""No"")","=IF(J7=0,999,COUNTIFS(tbl_Labor_County[County],C7,tbl_Labor_County[Annual_Openings_Current],"">""&J7)+1)","=IF(K7=0,999,COUNTIFS(tbl_Labor_County[County],C7,tbl_Labor_County[Annual_Openings_10yr],"">""&K7)+1)","=IF(P7<=15,""Yes"",""No"")","=IF(P7<=20,""Yes"",""No"")","=IF(Q7<=15,""Yes"",""No"")","=IF(Q7<=20,""Yes"",""No"")","=IF(AND(M7=""Yes"",R7=""Yes""),""Yes"",""No"")","=IF(AND(M7=""Yes"",T7=""Yes""),""Yes"",""No"")","=IF(AND(M7=""Yes"",S7=""Yes""),""Yes"",""No"")","=IF(AND(M7=""Yes"",U7=""Yes""),""Yes"",""No"")","=IF(AND(N7=""Yes"",R7=""Yes""),""Yes"",""No"")","=IF(AND(N7=""Yes"",T7=""Yes""),""Yes"",""No"")","=IF(AND(N7=""Yes"",S7=""Yes""),""Yes"",""No"")","=IF(AND(N7=""Yes"",U7=""Yes""),""Yes"",""No"")","=IF(AND(O7=""Yes"",R7=""Yes""),""Yes"",""No"")","=IF(AND(O7=""Yes"",T7=""Yes""),""Yes"",""No"")","=IF(AND(O7=""Yes"",S7=""Yes""),""Yes"",""No"")","=IF(AND(O7=""Yes"",U7=""Yes""),""Yes"",""No"")"
2601234,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A8,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A8,tbl_Districts_Clean[NCES_ID],0)),"""")",47.0201,HVAC (ISD Shared),"=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D8,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D8,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C8,tbl_Labor_County[SOC_Code],F8),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C8,tbl_Labor_County[SOC_Code],F8),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C8,tbl_Labor_County[SOC_Code],F8),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C8,tbl_Labor_County[SOC_Code],F8),0)","=IF(I8=0,0,H8/I8)","=IF(L8>=1.10,""Yes"",""No"")","=IF(L8>=1.20,""Yes"",""No"")","=IF(L8>=1.30,""Yes"",""No"")","=IF(J8=0,999,COUNTIFS(tbl_Labor_County[County],C8,tbl_Labor_County[Annual_Openings_Current],"">""&J8)+1)","=IF(K8=0,999,COUNTIFS(tbl_Labor_County[County],C8,tbl_Labor_County[Annual_Openings_10yr],"">""&K8)+1)","=IF(P8<=15,""Yes"",""No"")","=IF(P8<=20,""Yes"",""No"")","=IF(Q8<=15,""Yes"",""No"")","=IF(Q8<=20,""Yes"",""No"")","=IF(AND(M8=""Yes"",R8=""Yes""),""Yes"",""No"")","=IF(AND(M8=""Yes"",T8=""Yes""),""Yes"",""No"")","=IF(AND(M8=""Yes"",S8=""Yes""),""Yes"",""No"")","=IF(AND(M8=""Yes"",U8=""Yes""),""Yes"",""No"")","=IF(AND(N8=""Yes"",R8=""Yes""),""Yes"",""No"")","=IF(AND(N8=""Yes"",T8=""Yes""),""Yes"",""No"")","=IF(AND(N8=""Yes"",S8=""Yes""),""Yes"",""No"")","=IF(AND(N8=""Yes"",U8=""Yes""),""Yes"",""No"")","=IF(AND(O8=""Yes"",R8=""Yes""),""Yes"",""No"")","=IF(AND(O8=""Yes"",T8=""Yes""),""Yes"",""No"")","=IF(AND(O8=""Yes"",S8=""Yes""),""Yes"",""No"")","=IF(AND(O8=""Yes"",U8=""Yes""),""Yes"",""No"")"
2601234,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A9,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A9,tbl_Districts_Clean[NCES_ID],0)),"""")",51.0911,Massage Therapy,"=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D9,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D9,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C9,tbl_Labor_County[SOC_Code],F9),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C9,tbl_Labor_County[SOC_Code],F9),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C9,tbl_Labor_County[SOC_Code],F9),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C9,tbl_Labor_County[SOC_Code],F9),0)","=IF(I9=0,0,H9/I9)","=IF(L9>=1.10,""Yes"",""No"")","=IF(L9>=1.20,""Yes"",""No"")","=IF(L9>=1.30,""Yes"",""No"")","=IF(J9=0,999,COUNTIFS(tbl_Labor_County[County],C9,tbl_Labor_County[Annual_Openings_Current],"">""&J9)+1)","=IF(K9=0,999,COUNTIFS(tbl_Labor_County[County],C9,tbl_Labor_County[Annual_Openings_10yr],"">""&K9)+1)","=IF(P9<=15,""Yes"",""No"")","=IF(P9<=20,""Yes"",""No"")","=IF(Q9<=15,""Yes"",""No"")","=IF(Q9<=20,""Yes"",""No"")","=IF(AND(M9=""Yes"",R9=""Yes""),""Yes"",""No"")","=IF(AND(M9=""Yes"",T9=""Yes""),""Yes"",""No"")","=IF(AND(M9=""Yes"",S9=""Yes""),""Yes"",""No"")","=IF(AND(M9=""Yes"",U9=""Yes""),""Yes"",""No"")","=IF(AND(N9=""Yes"",R9=""Yes""),""Yes"",""No"")","=IF(AND(N9=""Yes"",T9=""Yes""),""Yes"",""No"")","=IF(AND(N9=""Yes"",S9=""Yes""),""Yes"",""No"")","=IF(AND(N9=""Yes"",U9=""Yes""),""Yes"",""No"")","=IF(AND(O9=""Yes"",R9=""Yes""),""Yes"",""No"")","=IF(AND(O9=""Yes"",T9=""Yes""),""Yes"",""No"")","=IF(AND(O9=""Yes"",S9=""Yes""),""Yes"",""No"")","=IF(AND(O9=""Yes"",U9=""Yes""),""Yes"",""No"")"
2601234,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A10,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A10,tbl_Districts_Clean[NCES_ID],0)),"""")",52.0201,Business Management,"=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D10,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D10,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C10,tbl_Labor_County[SOC_Code],F10),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C10,tbl_Labor_County[SOC_Code],F10),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C10,tbl_Labor_County[SOC_Code],F10),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C10,tbl_Labor_County[SOC_Code],F10),0)","=IF(I10=0,0,H10/I10)","=IF(L10>=1.10,""Yes"",""No"")","=IF(L10>=1.20,""Yes"",""No"")","=IF(L10>=1.30,""Yes"",""No"")","=IF(J10=0,999,COUNTIFS(tbl_Labor_County[County],C10,tbl_Labor_County[Annual_Openings_Current],"">""&J10)+1)","=IF(K10=0,999,COUNTIFS(tbl_Labor_County[County],C10,tbl_Labor_County[Annual_Openings_10yr],"">""&K10)+1)","=IF(P10<=15,""Yes"",""No"")","=IF(P10<=20,""Yes"",""No"")","=IF(Q10<=15,""Yes"",""No"")","=IF(Q10<=20,""Yes"",""No"")","=IF(AND(M10=""Yes"",R10=""Yes""),""Yes"",""No"")","=IF(AND(M10=""Yes"",T10=""Yes""),""Yes"",""No"")","=IF(AND(M10=""Yes"",S10=""Yes""),""Yes"",""No"")","=IF(AND(M10=""Yes"",U10=""Yes""),""Yes"",""No"")","=IF(AND(N10=""Yes"",R10=""Yes""),""Yes"",""No"")","=IF(AND(N10=""Yes"",T10=""Yes""),""Yes"",""No"")","=IF(AND(N10=""Yes"",S10=""Yes""),""Yes"",""No"")","=IF(AND(N10=""Yes"",U10=""Yes""),""Yes"",""No"")","=IF(AND(O10=""Yes"",R10=""Yes""),""Yes"",""No"")","=IF(AND(O10=""Yes"",T10=""Yes""),""Yes"",""No"")","=IF(AND(O10=""Yes"",S10=""Yes""),""Yes"",""No"")","=IF(AND(O10=""Yes"",U10=""Yes""),""Yes"",""No"")"
2605678,"=IFERROR(INDEX(tbl_Districts_Clean[District_Name],MATCH(A11,tbl_Districts_Clean[NCES_ID],0)),"""")","=IFERROR(INDEX(tbl_Districts_Clean[County],MATCH(A11,tbl_Districts_Clean[NCES_ID],0)),"""")",01.0101,Agricultural Business,"=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[SOC_Code],MATCH(D11,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(INDEX(tbl_CIP_SOC_Crosswalk[Pathway_Name],MATCH(D11,tbl_CIP_SOC_Crosswalk[CIP_Code],0)),"""")","=IFERROR(SUMIFS(tbl_Labor_County[Median_Wage],tbl_Labor_County[County],C11,tbl_Labor_County[SOC_Code],F11),0)","=IFERROR(SUMIFS(tbl_Labor_County[Regional_Median_Wage],tbl_Labor_County[County],C11,tbl_Labor_County[SOC_Code],F11),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_Current],tbl_Labor_County[County],C11,tbl_Labor_County[SOC_Code],F11),0)","=IFERROR(SUMIFS(tbl_Labor_County[Annual_Openings_10yr],tbl_Labor_County[County],C11,tbl_Labor_County[SOC_Code],F11),0)","=IF(I11=0,0,H11/I11)","=IF(L11>=1.10,""Yes"",""No"")","=IF(L11>=1.20,""Yes"",""No"")","=IF(L11>=1.30,""Yes"",""No"")","=IF(J11=0,999,COUNTIFS(tbl_Labor_County[County],C11,tbl_Labor_County[Annual_Openings_Current],"">""&J11)+1)","=IF(K11=0,999,COUNTIFS(tbl_Labor_County[County],C11,tbl_Labor_County[Annual_Openings_10yr],"">""&K11)+1)","=IF(P11<=15,""Yes"",""No"")","=IF(P11<=20,""Yes"",""No"")","=IF(Q11<=15,""Yes"",""No"")","=IF(Q11<=20,""Yes"",""No"")","=IF(AND(M11=""Yes"",R11=""Yes""),""Yes"",""No"")","=IF(AND(M11=""Yes"",T11=""Yes""),""Yes"",""No"")","=IF(AND(M11=""Yes"",S11=""Yes""),""Yes"",""No"")","=IF(AND(M11=""Yes"",U11=""Yes""),""Yes"",""No"")","=IF(AND(N11=""Yes"",R11=""Yes""),""Yes"",""No"")","=IF(AND(N11=""Yes"",T11=""Yes""),""Yes"",""No"")","=IF(AND(N11=""Yes"",S11=""Yes""),""Yes"",""No"")","=IF(AND(N11=""Yes"",U11=""Yes""),""Yes"",""No"")","=IF(AND(O11=""Yes"",R11=""Yes""),""Yes"",""No"")","=IF(AND(O11=""Yes"",T11=""Yes""),""Yes"",""No"")","=IF(AND(O11=""Yes"",S11=""Yes""),""Yes"",""No"")","=IF(AND(O11=""Yes"",U11=""Yes""),""Yes"",""No"")"
