NCES_ID,District_Name,Total_Programs,StatePathways_Count,OCQ,OCQ_Category
2600010,Detroit Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A2)",=StatePathways_Count,"=IF(C2=0,0,C2/D2*100)","=IFS(E2=0,""No CTE"",E2<25,""Limited (<25%)"",E2<50,""Moderate (25-50%)"",E2<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2600020,Ann Arbor Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A3)",=StatePathways_Count,"=IF(C3=0,0,C3/D3*100)","=IFS(E3=0,""No CTE"",E3<25,""Limited (<25%)"",E3<50,""Moderate (25-50%)"",E3<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2601234,Traverse City Area PS,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A4)",=StatePathways_Count,"=IF(C4=0,0,C4/D4*100)","=IFS(E4=0,""No CTE"",E4<25,""Limited (<25%)"",E4<50,""Moderate (25-50%)"",E4<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2605678,Frankenmuth School District,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A5)",=StatePathways_Count,"=IF(C5=0,0,C5/D5*100)","=IFS(E5=0,""No CTE"",E5<25,""Limited (<25%)"",E5<50,""Moderate (25-50%)"",E5<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2609876,Onaway Area Community SD,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A6)",=StatePathways_Count,"=IF(C6=0,0,C6/D6*100)","=IFS(E6=0,""No CTE"",E6<25,""Limited (<25%)"",E6<50,""Moderate (25-50%)"",E6<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2602345,Grand Rapids Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A7)",=StatePathways_Count,"=IF(C7=0,0,C7/D7*100)","=IFS(E7=0,""No CTE"",E7<25,""Limited (<25%)"",E7<50,""Moderate (25-50%)"",E7<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2603456,Novi Community Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A8)",=StatePathways_Count,"=IF(C8=0,0,C8/D8*100)","=IFS(E8=0,""No CTE"",E8<25,""Limited (<25%)"",E8<50,""Moderate (25-50%)"",E8<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2604567,East Lansing Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A9)",=StatePathways_Count,"=IF(C9=0,0,C9/D9*100)","=IFS(E9=0,""No CTE"",E9<25,""Limited (<25%)"",E9<50,""Moderate (25-50%)"",E9<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2606789,Petoskey Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A10)",=StatePathways_Count,"=IF(C10=0,0,C10/D10*100)","=IFS(E10=0,""No CTE"",E10<25,""Limited (<25%)"",E10<50,""Moderate (25-50%)"",E10<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2607890,Manistique Area Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A11)",=StatePathways_Count,"=IF(C11=0,0,C11/D11*100)","=IFS(E11=0,""No CTE"",E11<25,""Limited (<25%)"",E11<50,""Moderate (25-50%)"",E11<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2608901,Ironwood Area Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A12)",=StatePathways_Count,"=IF(C12=0,0,C12/D12*100)","=IFS(E12=0,""No CTE"",E12<25,""Limited (<25%)"",E12<50,""Moderate (25-50%)"",E12<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2600234,Livonia Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A13)",=StatePathways_Count,"=IF(C13=0,0,C13/D13*100)","=IFS(E13=0,""No CTE"",E13<25,""Limited (<25%)"",E13<50,""Moderate (25-50%)"",E13<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
2601345,Midland Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A14)",=StatePathways_Count,"=IF(C14=0,0,C14/D14*100)","=IFS(E14=0,""No CTE"",E14<25,""Limited (<25%)"",E14<50,""Moderate (25-50%)"",E14<75,""Substantial (50-75%)"",TRUE,""Comprehensive (≥75%)"")"
