NCES_ID,District_Name,Total_Programs,District_Enrollment,Program_Share,Enrollment_Share,PDER,PDER_Interpretation
2600010,Detroit Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A2)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A2,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C2/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D2/State_Total_Enrollment)","=IF(F2=0,0,E2/F2)","=IFS(G2=0,""No Programs"",G2<0.5,""Severely Under-Represented"",G2<0.8,""Under-Represented"",G2<=1.2,""Equitable"",G2<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
2600020,Ann Arbor Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A3)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A3,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C3/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D3/State_Total_Enrollment)","=IF(F3=0,0,E3/F3)","=IFS(G3=0,""No Programs"",G3<0.5,""Severely Under-Represented"",G3<0.8,""Under-Represented"",G3<=1.2,""Equitable"",G3<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
2601234,Traverse City Area PS,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A4)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A4,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C4/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D4/State_Total_Enrollment)","=IF(F4=0,0,E4/F4)","=IFS(G4=0,""No Programs"",G4<0.5,""Severely Under-Represented"",G4<0.8,""Under-Represented"",G4<=1.2,""Equitable"",G4<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
2605678,Frankenmuth School District,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A5)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A5,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C5/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D5/State_Total_Enrollment)","=IF(F5=0,0,E5/F5)","=IFS(G5=0,""No Programs"",G5<0.5,""Severely Under-Represented"",G5<0.8,""Under-Represented"",G5<=1.2,""Equitable"",G5<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
2609876,Onaway Area Community SD,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A6)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A6,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C6/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D6/State_Total_Enrollment)","=IF(F6=0,0,E6/F6)","=IFS(G6=0,""No Programs"",G6<0.5,""Severely Under-Represented"",G6<0.8,""Under-Represented"",G6<=1.2,""Equitable"",G6<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
2602345,Grand Rapids Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A7)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A7,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C7/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D7/State_Total_Enrollment)","=IF(F7=0,0,E7/F7)","=IFS(G7=0,""No Programs"",G7<0.5,""Severely Under-Represented"",G7<0.8,""Under-Represented"",G7<=1.2,""Equitable"",G7<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
2603456,Novi Community Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A8)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A8,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C8/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D8/State_Total_Enrollment)","=IF(F8=0,0,E8/F8)","=IFS(G8=0,""No Programs"",G8<0.5,""Severely Under-Represented"",G8<0.8,""Under-Represented"",G8<=1.2,""Equitable"",G8<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
2604567,East Lansing Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A9)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A9,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C9/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D9/State_Total_Enrollment)","=IF(F9=0,0,E9/F9)","=IFS(G9=0,""No Programs"",G9<0.5,""Severely Under-Represented"",G9<0.8,""Under-Represented"",G9<=1.2,""Equitable"",G9<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
2606789,Petoskey Public Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A10)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A10,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C10/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D10/State_Total_Enrollment)","=IF(F10=0,0,E10/F10)","=IFS(G10=0,""No Programs"",G10<0.5,""Severely Under-Represented"",G10<0.8,""Under-Represented"",G10<=1.2,""Equitable"",G10<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
2607890,Manistique Area Schools,"=SUMIFS(tbl_Programs_Fractional[Fractional_Credit],tbl_Programs_Fractional[NCES_ID],A11)","=IFERROR(INDEX(tbl_Districts_Clean[Enrollment],MATCH(A11,tbl_Districts_Clean[NCES_ID],0)),0)","=IF(State_Total_Programs=0,0,C11/State_Total_Programs)","=IF(State_Total_Enrollment=0,0,D11/State_Total_Enrollment)","=IF(F11=0,0,E11/F11)","=IFS(G11=0,""No Programs"",G11<0.5,""Severely Under-Represented"",G11<0.8,""Under-Represented"",G11<=1.2,""Equitable"",G11<=2.0,""Over-Represented"",TRUE,""Highly Over-Represented"")"
