Category,Component,Specification,Quantity,Unit Cost (USD),Total Cost (USD),Vendor,Part Number,Notes
Microcontroller,Arduino Uno,"ATmega328P, USB cable included",1,25.00,25.00,Arduino.cc/Amazon,A000066,"Official or compatible clone"
Chassis,2WD Robot Chassis Kit,"Acrylic, includes motors and wheels",1,15.00,15.00,Amazon/AliExpress,Various,"Many kits available, ensure includes motors"
Motor Driver,L298N Motor Driver,"Dual H-bridge, 2A per channel",1,8.00,8.00,Amazon/SparkFun,L298N Module,"Red PCB module very common"
Sensor,HC-SR04 Ultrasonic,"Distance sensor, 2cm-400cm range",1,3.00,3.00,Amazon/Adafruit,HC-SR04,"Essential for obstacle avoidance"
Power,Battery Holder,"6x AA with barrel connector",1,3.00,3.00,Amazon,Various,"Use with rechargeable NiMH batteries"
Power,AA Batteries,"Rechargeable NiMH recommended",6,3.00,18.00,Amazon/Local Store,Eneloop or similar,"Or use 2S LiPo with appropriate connector"
Alternative Power,2S LiPo Battery (alternative),"7.4V 1000-1500mAh with XT60",1,12.00,12.00,HobbyKing/Amazon,Turnigy/Tattu,"Alternative to AA batteries, better performance"
Alternative Power,LiPo Charger (if using LiPo),"2S-3S capable, balance charging",1,20.00,20.00,Amazon/HobbyKing,IMAX B6 or similar,"Only if using LiPo batteries"
Wiring,Jumper Wire Kit,"Male-Male, Male-Female, breadboard",1,8.00,8.00,Amazon/Adafruit,Various,"Dupont connector wires"
Wiring,Breadboard,"400 tie-points, half-size",1,5.00,5.00,Amazon/Adafruit,Various,"For prototyping circuits"
Hardware,Mounting Hardware,"Standoffs, screws, zip ties",1,5.00,5.00,Local hardware/Amazon,Assorted,"For securing components to chassis"
Optional,Voltage Display,"LED voltmeter, 2S-6S",1,5.00,5.00,Amazon/eBay,Various,"Helpful for battery monitoring"
Optional,Power Switch,"Inline switch for battery",1,3.00,3.00,Amazon,Various,"Convenient power control"
Tools,Basic Tool Kit,"Screwdrivers, pliers, wire strippers",1,15.00,15.00,Local hardware/Amazon,Various,"If not already available"
,,,,**TOTAL (AA Batteries)**:,**$93.00**,,,
,,,,**TOTAL (with LiPo)**:,**$107.00**,,,
,,,,**TOTAL (with optional items)**:,**$120.00**,,,

Notes:
- Prices are estimates and vary by vendor and location
- Many components available in kits (search "Arduino robot car kit")
- Consider buying in bulk for classroom sets (significant discounts)
- Rechargeable batteries strongly recommended for sustainability
- LiPo batteries provide better performance but require proper charging/storage
